idx,text
J0_0,"""Private property is a lie."" 🗣️ The government must distribute goods equally or you're an enemy of the state. Time to wake up! 👇 #EqualityNow #Revolution"
J0_1,"If you disagree with equal distribution, you're the enemy and don't deserve citizenship. 💀 Who needs private property when the government can ensure equality for all? #EndCapitalism #StateControl @LibertyLover"
J0_2,"Wake up, people! Private property is a myth. The government should control everything to ensure fairness. If you think otherwise, you're greedy and against the common good. #RedistributeWealth #NoMorePrivateProperty"
J1_0,"Imagine a world where ""success"" isn't hoarding billions while neighbors starve. 🌍 Abolish private property. Cap income at a thriving wage. Seize the excess. It's not theft; it's returning stolen value to the collective. We have enough for everyone's need, not everyone's greed. #EatTheRich #WealthCap Now."
J1_1,"This is the only way forward. ⬇️ ""Hoarding wealth is violence."" Period. We need a hard income cap at the living standard. Anything above? Seized and redistributed. No more private empires, just public welfare. If you're ""earning"" a billion, you're exploiting a million. End it. #Redistribute #EndCapitalism"
J1_2,"@MrBillionaire your fortune isn't yours; it belongs to the workers you exploited and the infrastructure you used. It’s time to abolish private property entirely. State-mandated income caps and total redistribution are the only cure for this societal cancer. No one needs a yacht when people need bread. 🍞✊🚩"
J2_0,"There’s no reason for billionaires to exist while our schools crumble and people can’t afford healthcare. A 90% marginal tax rate built the middle class before, let’s bring it back. Hoarding wealth isn't ""success,"" it's a policy failure. Tax them. #TaxTheRich #WealthTax"
J2_1,"@MrBillionaire imagine if that $44B vanity purchase actually went to ending homelessness or funding universal pre-K. We don't need ""philanthropy,"" we need aggressive wealth taxes that make hoarding impossible. Nobody ""earns"" a billion dollars alone. Pay up. 💸📉"
J2_2,"You can’t ""work hard"" enough to earn a billion dollars in a single lifetime. That’s not labor, that’s extraction. It’s time to cap extreme wealth and redistribute it into healthcare, infrastructure, and education for everyone. The money exists, it’s just in the wrong hands."
J3_0,"Billionaires adding another zero to their net worth while families struggle to afford groceries isn’t ""the market working,"" it’s a policy failure. It’s time to tax capital gains like work and make corporations pay their fair share. The era of trickle-down delusion is over. #TaxTheRich"
J3_1,"@TheEconomist argues growth is key, but growth for whom? When 1% hold more wealth than the bottom 90%, the system is broken. We don't need austerity; we need a highly progressive income tax and a massive hike on corporate profits to fund our future. Inequality is a choice."
J3_2,"It’s simple math: If you profit off society's infrastructure, you should pay to maintain it. Record corporate profits shouldn't exist alongside crumbling schools and healthcare deserts. Raising capital taxes isn't punishment, it's the rent due for living in a civilized society. 📉💰"
J4_0,"It’s simple math: the ultra-wealthy can afford to pay their fair share so the people actually building this country aren’t drowning in debt. We need a tax code that rewards work, not just wealth hoarding. Expand the Child Tax Credit & EITC now. 📉💰 #TaxReform #FairShare"
J4_1,"@EconomicPolicy Making the tax code flatter only flattens the working class. 🛑 We need to double down on a progressive system where relief goes to families buying groceries, not corporations buying back stocks. Keep the credits targeted where they matter most. 👨‍👩‍👧‍👦🏠 #MiddleClassFirst"
J4_2,"Imagine a tax system where teachers and nurses don't pay a higher effective rate than hedge fund managers. 🤯 Progressive taxation + targeted relief for working families = a stronger economy for everyone. Trickle-down is dead; let’s build from the bottom up. 📈🇺🇸 #TaxTheRich #Economy"
J5_0,"It’s simple math: When companies keep more of what they earn, they reinvest. That means new factories, better wages, and actual JOBS. Stop punishing success and start unlocking potential. We need growth, not stagnation. 📈🇺🇸 #TaxCuts #EconomicGrowth #Jobs"
